document_id,clean_text,sentiment
1,nisei female born may selleck washington spent much childhood beaverton oregon father owned farm influenced early age parents conversion christianity world war ii removed portland assembly center oregon minidoka concentration camp idaho war worked establish successful volunteer program feed homeless seattle washington,neutral
2,nisei male born june seattle washington grew area seattle japanese americans attending university washington japan bombed pearl harbor removed puyallup assembly center washington minidoka concentration camp idaho left minidoka several times temporary work leave work farms area suffered tragic loss camp father got lost outside collecting wood perished elements volunteered army served signal corps eventually working civil aeronautics administration boeing also one early members seattle nisei veterans committee,neutral
3,nisei female born october seattle washington family owned operated successful grocery store prior world war ii bombing pearl harbor removed puyallup assembly center washington minidoka concentration camp idaho left camp attend st marys school nursing rochester minnesota worked medical field minnesota seattle eventually pursuing career education,neutral
4,nisei female born july boyle heights california early age went live family friends father passed away mother contracted tuburculosis world war ii removed santa anita assembly center california granada amache concentration camp colorado camp mother relapsed toshiko went live family friends war returned california,negative
5,sansei male born march torrance california grew los angeles area father sold insurance active los angeles koyasan buddhist temples boy scout troop performed drum bugle corps attended ucla joined staff gidra asian american monthly newspapermagazine started group students eventually took fathers insurance business,neutral
6,nisei female born august tacoma washington raised seattle washington family operated grocery store attended washington grammar school garfield high school seattle following bombing pearl harbor father arrested fbi sent missoula internment camp montana family removed puyallup assembly center washington minidoka concentration camp idaho father decided repatriate japan family transported ellis island detention station reunite father board repatriation ship ss gripsholm transferred crystal city internment camp texas denied entry ss gripsholm remained crystal city duration war resettled boyle heights neighborhood los angeles,negative
7,session elaine kim led panel elaine reiko akagis friends ann fujii lindwall arlene oki karen yoshitomi bill tashima remembrance conversation akagi elaine reiko akagi devoted life jacl teaching children special education needs love animals active detroit jr jacl early led detroit chapter action vincent chin murder detroit moving seattle akagi became chapter president akagi one chapter leaders initiating teacher workshops instruct teachers methods teach lessons ja wwii classroom instill critical thinking students apply lessons current day issues akagi endowed chapter scholarship primary purpose encouraging students color go field special education akagi firm believer childrens education enhanced teachers look like,positive
8,nisei male born july lindsay california following bombing pearl harbor moved family idaho voluntary evacuation worked harvesting sugar beets ui sugar company volunteered army world war ii served nd field artillery battalion present liberation one dachau concentration camps subcamps war settled salt lake city utah,neutral
9,nisei male born june merced california grew mount eden california removed tanforan assembly center california bombing pearl harbor incarcerated topaz concentration camp utah moved tule lake concentration camp family volunteered move japan tule lake joined projapan organization created father sokoku kenkyu seinen dan young mens association study motherland renounced us citizenship expatriated japan parents siblings lived worked japan returned united states author betrayed trust story deported issei americanborn family wwii published,negative
10,nisei male born may eastport idaho spent childhood spokane washington traveled japan family father became ill died attended school japan three years returned spokane worked farm following bombing pearl harbor volunteered military service failed medical examination war took brief trips manzanar concentration camp california camp arkansas minidoka concentration camp idaho war worked painter large signs spokane,negative
11,nisei male born april oak grove oregon grew hood river oregon area parents ran farm world war ii removed pinedale assembly center california tule lake concentration camp california minidoka concentration camp idaho volunteered serve us army war military service returned hood river area,neutral
12,nisei female born january bellevue washington grew bellevue removed pinedale assembly center tule lake concentration camp california world war ii leaving camp returned bellevue,neutral
13,nisei male born may world war ii served interpreter military intelligence service,neutral
